sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 36,AB 02,0,3,velar/palatal,dental/coronal,o,o,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 02(ro),0.0,[AB 36|AB 02]-AB 24-AB 03
AB 51,AB 49,2,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 49(?),0.0,AB 24-AB 03-[AB 51|AB 49]
AB 24,AB 37,0,3,dental/coronal,?,e,?,1,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 37(?),0.0,[AB 24|AB 37]-AB 03-AB 51
AB 01,AB 09,1,3,dental/coronal,dental/coronal,a,e,1,1,phonetic,"same class (dental/coronal), different vowel: AB 01(da) ↔ AB 09(se)",0.5,AB 51-[AB 01|AB 09]-AB 66
A 353,AB 77,2,3,?,velar/palatal,?,a,1,1,morphological,prefix/suffix substitution: A 353(?) ↔ AB 77(ka),0.0,AB 66-AB 02-[A 353|AB 77]
AB 20,AB 34,0,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 20(zo?) ↔ AB 34(ti),0.0,[AB 20|AB 34]-AB 04-AB 45
AB 20,AB 66,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 20(zo?) ↔ AB 66(?),0.0,[AB 20|AB 66]-AB 04-AB 45
AB 18,AB 08,2,3,dental/coronal,vowel,o,a,1,1,morphological,prefix/suffix substitution: AB 18(zo) ↔ AB 08(a),0.0,AB 04-AB 45-[AB 18|AB 08]
AB 18,AB 14,2,3,dental/coronal,dental/coronal,o,o,1,1,unknown,unclassified: AB 18(zo) ↔ AB 14(do),0.0,AB 65-AB 32-[AB 18|AB 14]
AB 24,AB 86,1,3,dental/coronal,?,e,o,1,1,unknown,unclassified: AB 24(ne) ↔ AB 86(lo),0.0,AB 36-[AB 24|AB 86]-AB 08
AB 36,AB 51,0,3,velar/palatal,dental/coronal,o,u,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 51(du),0.0,[AB 36|AB 51]-AB 24-AB 08
