triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
401,3,"C,V,both",AB 01,AB 65,AB 08,"AB 10,AB 56",AB 56,True,True,False,2,da,jo,,0.525,0.2831,0.0,0.154,0.092,0.435,0.091,0.058,0.081,143,120,209
729,3,"C,V,both",AB 01,AB 51,AB 04,"AB 07,AB 52,AB 56",AB 56,True,True,False,2,da,du,,0.525,0.2566,0.0,0.154,0.172,0.215,0.091,0.161,0.301,143,180,186
843,3,"C,V,both",AB 01,AB 26,AB 56,AB 56,"AB 08,AB 56,AB 66",True,False,True,2,da,,pa,0.525,0.0,0.2148,0.154,0.269,0.144,0.091,0.178,0.106,143,219,132
1505,3,"C,V,both",AB 02,AB 52,AB 04,AB 56,AB 56,True,True,False,2,ro,no,,0.3403,0.2915,0.0,0.337,0.094,0.215,0.441,0.094,0.301,279,117,186
1960,3,"C,V,both",AB 03,AB 36,AB 52,"AB 07,AB 56","AB 08,AB 63,AB 66",False,True,True,2,,jo,no,0.0,0.3901,0.2915,0.097,0.363,0.094,0.087,0.324,0.094,103,333,117
2515,3,"C,V,both",AB 04,AB 49,AB 29,"AB 10,AB 56",AB 56,False,True,True,2,,we,pu,0.0,0.2994,0.3253,0.215,0.163,0.118,0.301,0.145,0.243,186,172,144
3129,3,"C,V,both",AB 05,AB 29,AB 66,"AB 06,AB 26","AB 01,AB 66",False,True,True,2,,pu,ta,0.0,0.3253,0.1687,0.118,0.118,0.362,0.059,0.243,0.356,17,144,461
3938,3,"C,V,both",AB 07,AB 32,AB 36,AB 56,"AB 10,AB 56,AB 63",True,False,True,2,di,,jo,0.4855,0.0,0.3901,0.083,0.098,0.363,0.101,0.116,0.324,109,112,333
4507,3,"C,V,both",AB 08,AB 23,AB 51,"AB 07,AB 56","AB 10,AB 56",False,True,True,2,,mu,du,0.0,0.4072,0.2566,0.435,0.074,0.172,0.081,0.074,0.161,209,94,180
5255,3,"C,V,both",AB 09,AB 65,AB 85,"AB 04,AB 10,AB 36","AB 08,AB 56",False,True,True,2,,jo,au,0.0,0.2831,0.1286,0.058,0.092,0.469,0.232,0.058,0.47,69,120,508
6839,3,"C,V,both",AB 22f,AB 62,AB 52,AB 56,"AB 07,AB 63",False,True,True,2,,ta,no,0.0,0.1386,0.2915,0.103,0.403,0.094,0.138,0.394,0.094,58,437,117
7701,3,"C,V,both",AB 24,AB 75,AB 66,"AB 02,AB 10,AB 29","AB 26,AB 66",False,True,True,2,,tu,ta,0.0,0.0674,0.1687,0.103,0.036,0.362,0.143,0.286,0.356,126,28,461
9298,3,"C,V,both",AB 34,AB 62,AB 52,AB 56,"AB 51,AB 56,AB 63",False,True,True,2,,ta,no,0.0,0.1386,0.2915,0.085,0.403,0.094,0.119,0.394,0.094,59,437,117
9971,3,"C,V,both",AB 44,AB 62,AB 59,"AB 52,AB 56","AB 08,AB 50",False,True,True,2,,ta,ta,0.0,0.1386,0.0979,0.075,0.403,0.11,0.087,0.394,0.15,80,437,100
12139,3,"C,V,both",AB 66,AB 07,AB 12,"AB 01,AB 48,AB 51","AB 08,AB 52",True,True,False,2,ta,di,,0.1687,0.4855,0.0,0.362,0.083,0.07,0.356,0.101,0.14,461,109,43
1061,3,"C,V,both",AB 02,AB 49,AB 03,"AB 07,AB 56,AB 65","AB 08,AB 56,AB 66",True,True,False,2,ro,we,,0.3403,0.2994,0.0,0.337,0.163,0.097,0.441,0.145,0.087,279,172,103
1794,3,"C,V,both",AB 03,AB 46,AB 66,"AB 07,AB 34,AB 52","AB 49,AB 66",False,True,True,2,,je,ta,0.0,0.2109,0.1687,0.097,0.196,0.362,0.087,0.157,0.356,103,51,461
3354,3,"C,V,both",AB 06,AB 62,AB 37,"AB 03,AB 10","AB 07,AB 51",False,True,True,2,,ta,ke,0.0,0.1386,0.0757,0.044,0.403,0.125,0.088,0.394,0.125,159,437,16
6469,3,"C,V,both",AB 14,AB 32,AB 66,"AB 01,AB 06,AB 24","AB 24,AB 66",True,False,True,2,do,,ta,0.4233,0.0,0.1687,0.05,0.098,0.362,0.125,0.116,0.356,40,112,461
