egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
Ssp,receive,trade,action,Ssp,SSP,KH9,Khania,clay,LM IB,tablet (page-shaped),1,3,3,si+su+po,SSP,conventional,,False,55.0
Ssp,receive,trade,action,Ssp,SSP,PH2,Phaistos,clay,Uncertain,tablet (page-shaped),11,13,3,se+sa+pa,SSP,conventional,,False,55.0
Ssp,receive,trade,action,Ssp,SSP,ZA14,Zakros,stone,LM IB,stone vessel,14,16,3,za+se+pa,SSP,conventional,,False,55.0
swD,transmit/hand over,trade,action,swD,SWT,KH74,Khania,clay,LM IB,tablet (page-shaped),0,2,3,si+ja+da,SWT,conventional,,False,55.0
swD,transmit/hand over,trade,action,swD,SWT,KN22a,Knossos,clay,Uncertain,Lames (short thin tablet),0,2,3,su+ju+ta,SWT,conventional,,False,55.0
swD,transmit/hand over,trade,action,swD,SWT,ZA4a,Zakros,stone,Uncertain,stone vessel,2,4,3,se+ja+to,SWT,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT62+73,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),6,8,3,di+ka+nu,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT95b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),8,10,3,te+ku+ni,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT96a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),2,4,3,ti+ku+ni,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT103,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),10,12,3,da+ku+ne,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT110a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),1,3,3,du+ku+mi,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT122a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),27,29,3,tu+ku+nu,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,ZA10a,Zakros,stone,Uncertain,stone vessel,13,15,3,du+ku+mi,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,ZA27,Zakros,stone,Uncertain,stone vessel,0,2,3,di+ki+mi,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,ZAWc2,Zakros,clay,LM IB,roundel,4,6,3,du+ko+mi,TKN,conventional,,False,55.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,ZAWc2,Zakros,clay,LM IB,roundel,11,13,3,du+ko+mi,TKN,conventional,,False,55.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,HT115a,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),6,8,3,ma+nu+wi,NNW,conventional,,False,55.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,HT115b,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),3,5,3,ne+nu+ja,NNW,conventional,,False,55.0
