gorila_id,inscription_id,num_signs,num_words,segmented_text,ground_truth_boundaries,predicted_boundaries,confidence
KH59,1192,11,1,𐝫𐝫𐄇𐝫𐘚𐄋𐝫𐘆𐘅𐄋𐝫,[],[],0.0000
KH6,1139,62,3,𐝫𐜙𐝆𐘆𐘤𐝫𐝫𐘃𐘯𐘙𐝫𐝫𐘸𐘞𐘗𐜙𐝆𐚇𐝫𐝫𐙗𐝫𐝆𐘭𐘳𐘧𐜙𐝫𐝫𐘑𐄇𐜙𐝆𐘕𐄇𐘂𐝫𐝫𐘙𐄁 | 𐙺𐄇𐜙𐝆𐘢𐘞𐝫𐝫𐜙𐝆𐙄𐘙𐘃𐄁 | 𐙚𐄇𐝫𐄎𐙗𐄈𐝆𐝁,"[39, 53]","[39, 53]",1.0000
KH60,1193,20,1,𐝫𐘴𐘸𐘳𐘅𐘤𐝫𐝫𐙏𐝍𐘷𐙗𐝫𐝫𐝂𐛚𐝂𐝫𐝫𐝫,[],[],0.0000
KH61,1194,20,1,𐝫𐝫𐄑𐝫𐝫𐄇𐙁𐝫𐝫𐝁𐜐𐝉𐝫𐝫𐙗𐝫𐄈𐙉𐄇𐝍,[],[],0.0000
KH62,1195,4,2,𐝫 | 𐝫𐙁𐝫,[],[0],0.7500
KH63,1196,10,1,𐝫𐝫𐘲𐄐𐝫𐝫𐜩𐝉𐝫𐝫,[],[],0.0000
KH64,1197,6,2,𐝫 | 𐝫𐘳𐝫𐝫𐝫,[],[0],0.7500
KH65,1198,5,1,𐝫𐝫𐘝𐝫𐝫,[],[],0.0000
KH66,1199,4,1,𐝫𐄒𐝫𐝫,[],[],0.0000
KH67,1200,6,1,𐝫𐝫𐝫𐄇𐝫𐝫,[],[],0.0000
KH68+71,1201,7,1,𐝫𐝫𐜨𐝉𐝫𐝫𐝫,[],[],0.0000
